公開可否,開催日,分類,名称,URL,説明文,説明文文字数,サムネイル,補足1テキスト,補足1URL,補足2テキスト,補足2URL,補足3テキスト,補足3URL,補足3URL,メモ
true,2013/06/30,勉強会,RGBD撮影レクチャー,https://www.youtube.com/watch?v=dw6eR3EbPpg&index=5&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,Kinnectを使って深度情報を取得・ビジュアライズしてみるワークショップ,37,20130630_thumb.jpg,YouTube,https://www.youtube.com/watch?v=dw6eR3EbPpg&index=5&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,,,,,,
true,2013/06/28,勉強会,Backbone勉強会,https://www.youtube.com/watch?v=RfBBQYZ68lQ&index=4&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,ユニバ社内で開催した、Backbone.jsの勉強会,26,20130628_thumb.jpg,YouTube,https://www.youtube.com/watch?v=RfBBQYZ68lQ&index=4&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,,,,,,
true,2013/06/14,勉強会,Arduino勉強会,https://www.youtube.com/watch?v=OseS3IWG-EM&index=2&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,ユニバ社内で開催した、Arduinoの勉強会,22,20130614_thumb.jpg,YouTube,https://www.youtube.com/watch?v=OseS3IWG-EM&index=2&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0,,,,,,
true,2013/05/21,トーク,10年後のインターネットってどんな感じ会議 第3回,https://www.facebook.com/events/475219129223972/,最終回のゲストは一階武史さん、貴田達也さん。聞き手はユニバの菊地玄摩、今野聖也,39,events_thumb.jpg,facebook,https://www.facebook.com/events/475219129223972/,,,,,,
true,2013/05/10,トーク,10年後のインターネットってどんな感じ会議 第2回,https://www.facebook.com/events/383631208413036/,第2回のゲストは谷口暁彦さん。聞き手はユニバの菊地玄摩、森浩一郎,32,events_thumb.jpg,facebook,https://www.facebook.com/events/383631208413036/,,,,,,
true,2013/05/02,トーク,10年後のインターネットってどんな感じ会議 第1回,https://www.facebook.com/events/161358854030632/,第1回のゲストは谷上周史さん、櫻井寿遙さん。聞き手はユニバの菊地玄摩,34,events_thumb.jpg,facebook,https://www.facebook.com/events/161358854030632/,,,,,,
true,2013/04/18,エキシビジョン,Uniba inc. Annual Exhibition 2013「フューチャー・セマフォア 手旗通信の未来」,http://works.uniba.jp/posts/2013-04-future-semaphore-exhibition/,2013年4月18日~21日まで中目黒みどり荘で開催したユニバ初の展示会,36,20130418_thumb.jpg,works.uniba.jp,http://works.uniba.jp/posts/2013-04-future-semaphore-exhibition/,vimeo,https://vimeo.com/65720665,vimeo (Making),,https://vimeo.com/66710397,
true,2013/01/17,勉強会,Raspberry Pi 情報共有会,https://www.youtube.com/watch?v=fVfkZQ2dM7A&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0&index=1,ユニバ社内で開催した、Raspberry Piのランチミーティング,33,20130117_thumb.jpg,YouTube,https://www.youtube.com/watch?v=fVfkZQ2dM7A&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0&index=1,,,,,,
true,2012/12/05,MAKER,Maker Faire Tokyo 2012,https://vimeo.com/56083432,"Glue Machine (from Untitled), mimi.Neuro-Gun, Scratch Sewing, Piston Machine を出展",80,20121205_thumb.jpg,vimeo,https://vimeo.com/56083432,,,,,,
true,2012/08/31,アルス,アルスエレクトロニカを渋谷で観る会,https://atnd.org/events/31886,アルスと渋谷をつないでメディアアートを楽しく鑑賞する会,27,events_thumb.jpg,ATND,https://atnd.org/events/31886,,,,,,
true,2012/08/25,MAKER,Make: Ogaki Meeting 2012,https://vimeo.com/49137156,"Sentry Gun, kaina, The Sound of The Internet を出展",48,20120825_thumb.jpg,vimeo,https://vimeo.com/49137156,,,,,,
true,2012/08/03,勉強会,"SHIFTBRAIN x Uniba 合同 WS: WebGL, Three.js and more",https://atnd.org/events/31176,"SHIFTBRAIN 社とワークショップ形式で WebGL, Three.js 関連の技術を学ぶ会",49,events_thumb.jpg,ATND,https://atnd.org/events/31176,,,,,,
true,2012/08/01,エキシビジョン,ユニバハウス,http://works.uniba.jp/posts/2012-08-unibahouse/,ブラウザ上で体験できるインターネットお化け屋敷,23,20120801_thumb.jpg,works.uniba.jp,http://works.uniba.jp/posts/2012-08-unibahouse/,YouTube,https://www.youtube.com/watch?v=TwLE7owbIfA,,,,
true,2012/06/18,勉強会,JavaScript 基礎コース Part 1 (文法編),https://atnd.org/events/30071,「別の言語をやっていて、JavaScript も覚えたい」という人向けワークショップ,42,events_thumb.jpg,ATND,https://atnd.org/events/30071,,,,,,
true,2012/06/08,勉強会,ハローMadMapper,https://atnd.org/events/29525,MadMapper を使って、みんなでプロジェクションマッピングをやってみる会です。,42,20120608_thumb.jpg,ATND,https://atnd.org/events/29525,YouTube,https://www.youtube.com/watch?v=G1XgKYtuEww,,,,
true,2012/05/18,勉強会,HTML5 Boilerplate を詠む会 Part 1,https://atnd.org/events/28814,フロントエンドエンジニア向けベストプラクティス集 HTML5 Boilerplate の読書会,47,events_thumb.jpg,ATND,https://atnd.org/events/28814,,,,,,
true,2012/05/09,勉強会,Socket.IO を詠む会 Part 2,https://atnd.org/events/28319,Socket.IOのAPIをたのしく読む会、Part 2,28,events_thumb.jpg,ATND,https://atnd.org/events/28319,,,,,,
true,2012/04/14,勉強会,Perfume Hackathon,https://atnd.org/events/27279,Perfume Dev Team が公開しているモーションデータを使ったハッカソン,41,events_thumb.jpg,ATND,https://atnd.org/events/27279,,,,,,
true,2012/04/13,勉強会,Socket.IO を詠む会,https://atnd.org/events/27471,Socket.IOのAPIをたのしく読む会,21,events_thumb.jpg,ATND,https://atnd.org/events/27471,,,,,,
true,2011/09/02,アルス,ARS Electronica Report 2011,http://aef2011.uniba.jp/,ユニバによる Ars Electronica Festival 2011 レポート,41,20110902_thumb.jpg,aef2011.uniba.jp,http://aef2011.uniba.jp/,,,,,,
true,2011/09/01,アルス,Real Time Web Logging in Linz,https://www.facebook.com/events/1084645638216011/,リンツから送られてくるセンサー情報を使ったリアルタイム・データ・ビジュアライジング,41,20110901_thumb.jpg,facebook,https://www.facebook.com/events/1084645638216011/,YouTube,https://www.youtube.com/watch?v=56b-jsi5jyI&index=45&list=PLEUcYExmVwCVT7wdLDke0JsbRKWnjLMvf,,,,
false,,アルス,アルス関連のものをざっくりサルベージしたリスト,https://uniba.esa.io/posts/1789,,0,,,,,,,,,
